1;4
2;138
3;88
4;78
5;61
6;6
7;130
8;161
9;33
10;14
11;106
12;84
13;44
14;19
15;121
16;157
17;63
18;32
19;50
20;25
21;8
22;122
23;160
24;116
25;115
26;99
27;12
28;39
29;24
30;47
31;64
32;91
33;23
34;26
35;27
36;9
37;165
38;48
39;3
40;82
41;66
42;11
43;76
44;137
45;37
46;65
47;139
48;118
49;59
50;96
51;86
52;98
53;36
54;120
55;54
56;92
57;131
58;164
59;109
60;45
61;143
62;53
63;150
64;152
65;159
66;1
67;101
68;93
69;111
70;104
71;94
72;51
73;89
74;40
75;43
76;13
77;85
78;119
79;166
80;30
81;112
82;52
83;7
84;102
85;103
86;67
87;148
88;34
89;31
90;142
91;126
92;73
93;90
94;108
95;58
96;68
97;35
98;10
99;2
100;107
101;110
102;124
103;60
104;5
105;151
106;38
107;22
108;125
109;132
110;15
111;129
112;144
113;41
114;128
115;134
116;16
117;162
118;141
119;72
120;71
121;117
122;153
123;158
124;28
125;95
126;114
127;156
128;69
129;74
130;17
131;100
132;83
133;56
134;105
135;133
136;113
137;18
138;147
139;154
140;163
141;87
142;20
143;49
144;135
145;70
146;75
147;80
148;168
149;123
150;55
151;81
152;149
153;145
154;140
155;77
156;46
157;155
158;42
159;127
160;62
161;21
162;167
163;146
164;57
165;79
166;136
167;29
168;97
