1;38
2;119
3;96
4;151
5;156
6;29
7;88
8;39
9;50
10;91
11;7
12;127
13;121
14;137
15;31
16;37
17;129
18;139
19;51
20;167
21;25
22;93
23;68
24;81
25;100
26;30
27;155
28;94
29;69
30;45
31;3
32;122
33;90
34;33
35;53
36;79
37;141
38;61
39;12
40;75
41;92
42;56
43;34
44;107
45;8
46;71
47;9
48;138
49;35
50;152
51;19
52;158
53;63
54;153
55;123
56;136
57;110
58;154
59;144
60;20
61;148
62;52
63;24
64;168
65;140
66;82
67;11
68;165
69;117
70;27
71;162
72;46
73;5
74;120
75;76
76;115
77;142
78;147
79;22
80;145
81;58
82;16
83;135
84;159
85;4
86;87
87;1
88;130
89;83
90;95
91;109
92;105
93;163
94;48
95;36
96;70
97;143
98;108
99;149
100;47
101;84
102;14
103;102
104;103
105;133
106;128
107;74
108;124
109;85
110;114
111;146
112;131
113;28
114;21
115;59
116;44
117;77
118;49
119;32
120;101
121;65
122;73
123;54
124;78
125;86
126;80
127;10
128;60
129;104
130;40
131;41
132;132
133;17
134;66
135;113
136;64
137;99
138;62
139;157
140;2
141;111
142;26
143;55
144;164
145;89
146;15
147;116
148;23
149;98
150;118
151;125
152;18
153;57
154;72
155;42
156;160
157;126
158;6
159;112
160;67
161;134
162;166
163;43
164;97
165;106
166;13
167;150
168;161
