1;142
2;68
3;90
4;146
5;164
6;107
7;158
8;89
9;102
10;131
11;44
12;101
13;163
14;48
15;110
16;54
17;73
18;127
19;84
20;7
21;1
22;55
23;168
24;11
25;121
26;165
27;141
28;149
29;161
30;114
31;23
32;62
33;17
34;58
35;76
36;159
37;64
38;5
39;79
40;41
41;4
42;26
43;96
44;98
45;45
46;78
47;109
48;128
49;93
50;57
51;31
52;60
53;138
54;80
55;116
56;13
57;29
58;135
59;160
60;6
61;167
62;94
63;21
64;153
65;95
66;140
67;10
68;14
69;77
70;33
71;129
72;124
73;27
74;117
75;70
76;50
77;92
78;15
79;9
80;120
81;123
82;152
83;103
84;8
85;112
86;126
87;51
88;122
89;134
90;148
91;18
92;34
93;30
94;157
95;133
96;61
97;74
98;81
99;83
100;43
101;16
102;119
103;28
104;108
105;37
106;91
107;75
108;147
109;104
110;52
111;22
112;65
113;154
114;145
115;118
116;38
117;113
118;155
119;100
120;82
121;162
122;151
123;106
124;35
125;12
126;24
127;63
128;144
129;87
130;71
131;132
132;143
133;47
134;139
135;59
136;111
137;53
138;136
139;137
140;40
141;67
142;20
143;25
144;66
145;86
146;99
147;49
148;85
149;125
150;115
151;105
152;32
153;150
154;56
155;166
156;2
157;3
158;42
159;97
160;69
161;72
162;88
163;46
164;130
165;39
166;36
167;156
168;19
